time,gFx,gFy,gFz,TgF
0.002000,-0.6143,-0.3616,0.5325,0.890
0.003000,-0.6251,-0.3636,0.5264,0.894
0.003000,-0.6378,-0.3660,0.5215,0.901
0.003000,-0.6507,-0.3682,0.5220,0.912
0.004000,-0.6671,-0.3721,0.5232,0.926
0.004000,-0.6822,-0.3728,0.5245,0.938
0.008000,-0.6932,-0.3770,0.5276,0.949
0.009000,-0.7076,-0.3804,0.5296,0.962
0.011000,-0.7176,-0.3836,0.5303,0.971
0.014000,-0.7274,-0.3809,0.5311,0.978
0.016000,-0.7291,-0.3780,0.5320,0.979
0.018000,-0.7283,-0.3770,0.5330,0.978
0.020000,-0.7227,-0.3738,0.5347,0.974
0.025000,-0.7156,-0.3743,0.5389,0.971
0.026000,-0.7059,-0.3731,0.5428,0.965
0.029000,-0.6971,-0.3736,0.5499,0.963
0.030000,-0.6885,-0.3728,0.5582,0.962
0.033000,-0.6802,-0.3709,0.5679,0.961
0.035000,-0.6724,-0.3706,0.5779,0.961
0.037000,-0.6683,-0.3697,0.5909,0.966
0.041000,-0.6624,-0.3682,0.6031,0.969
0.042000,-0.6607,-0.3641,0.6155,0.974
0.045000,-0.6573,-0.3592,0.6260,0.976
0.048000,-0.6563,-0.3516,0.6380,0.981
0.049000,-0.6527,-0.3443,0.6522,0.985
0.051000,-0.6495,-0.3389,0.6649,0.989
0.054000,-0.6453,-0.3330,0.6778,0.993
0.059000,-0.6407,-0.3264,0.6920,0.998
0.060000,-0.6361,-0.3216,0.7066,1.004
0.064000,-0.6304,-0.3179,0.7213,1.009
0.065000,-0.6231,-0.3157,0.7340,1.013
0.067000,-0.6158,-0.3123,0.7447,1.016
0.068000,-0.6087,-0.3118,0.7547,1.018
0.071000,-0.6009,-0.3118,0.7640,1.021
0.083000,-0.5923,-0.3108,0.7711,1.021
0.085000,-0.5870,-0.3106,0.7764,1.022
0.086000,-0.5777,-0.3113,0.7799,1.019
0.086000,-0.5694,-0.3118,0.7818,1.016
0.087000,-0.5616,-0.3142,0.7816,1.012
0.088000,-0.5547,-0.3152,0.7779,1.006
0.089000,-0.5511,-0.3167,0.7762,1.003
0.105000,-0.5467,-0.3218,0.7706,0.998
0.106000,-0.5418,-0.3235,0.7655,0.992
0.107000,-0.5379,-0.3243,0.7576,0.984
0.107000,-0.5357,-0.3255,0.7508,0.978
0.108000,-0.5342,-0.3264,0.7415,0.970
0.109000,-0.5340,-0.3272,0.7357,0.966
0.109000,-0.5374,-0.3277,0.7274,0.962
0.110000,-0.5411,-0.3299,0.7200,0.959
0.111000,-0.5474,-0.3311,0.7135,0.958
0.111000,-0.5577,-0.3338,0.7066,0.960
0.114000,-0.5665,-0.3387,0.6998,0.962
0.115000,-0.5772,-0.3421,0.6949,0.966
0.118000,-0.5840,-0.3448,0.6856,0.964
0.121000,-0.5955,-0.3479,0.6754,0.965
0.125000,-0.6050,-0.3489,0.6673,0.966
0.126000,-0.6138,-0.3477,0.6592,0.966
0.129000,-0.6194,-0.3465,0.6487,0.962
0.130000,-0.6241,-0.3455,0.6404,0.959
0.133000,-0.6295,-0.3477,0.6324,0.958
0.134000,-0.6348,-0.3470,0.6243,0.956
0.136000,-0.6397,-0.3479,0.6204,0.957
0.139000,-0.6458,-0.3511,0.6158,0.959
0.142000,-0.6514,-0.3514,0.6116,0.960
0.146000,-0.6551,-0.3531,0.6077,0.961
0.146000,-0.6610,-0.3526,0.6053,0.963
0.149000,-0.6688,-0.3521,0.6046,0.968
0.151000,-0.6744,-0.3511,0.6038,0.971
0.153000,-0.6815,-0.3509,0.6046,0.976
0.155000,-0.6890,-0.3492,0.6050,0.981
0.171000,-0.6932,-0.3462,0.6058,0.984
0.172000,-0.6964,-0.3455,0.6080,0.987
0.173000,-0.7005,-0.3421,0.6131,0.992
0.174000,-0.7020,-0.3426,0.6153,0.994
0.175000,-0.7010,-0.3396,0.6185,0.995
